(	opening parenthesis
nps$	noun, plural, proper, genitive
nr	noun, singular, adverbial
nr$	noun, singular, adverbial, genitive
nr+md	noun, singular, adverbial + modal auxillary
nrs	noun, plural, adverbial
od	numeral, ordinal
pn	pronoun, nominal
pn$	pronoun, nominal, genitive
pn+bez	pronoun, nominal + verb "to be", present tense, 3rd person singular
pn+hvd	pronoun, nominal + verb "to have", past tense
pn+hvz	pronoun, nominal + verb "to have", present tense, 3rd person singular
pn+md	pronoun, nominal + modal auxillary
pp$	determiner, possessive
pp$$	pronoun, possessive
ppl	pronoun, singular, reflexive
ppls	pronoun, plural, reflexive
ppo	pronoun, personal, accusative
pps	pronoun, personal, nominative, 3rd person singular
pps+bez	pronoun, personal, nominative, 3rd person singular + verb "to be", present tense, 3rd person singular
pps+hvd	pronoun, personal, nominative, 3rd person singular + verb "to have", past tense
pps+hvz	pronoun, personal, nominative, 3rd person singular + verb "to have", present tense, 3rd person singular
pps+md	pronoun, personal, nominative, 3rd person singular + modal auxillary
ppss	pronoun, personal, nominative, not 3rd person singular
ppss+bem	pronoun, personal, nominative, not 3rd person singular + verb "to be", present tense, 1st person singular
ppss+ber	pronoun, personal, nominative, not 3rd person singular + verb "to be", present tense, 2nd person singular or all persons plural
ppss+bez	pronoun, personal, nominative, not 3rd person singular + verb "to be", present tense, 3rd person singular
ppss+bez*	pronoun, personal, nominative, not 3rd person singular + verb "to be", present tense, 3rd person singular, negated
ppss+hv	pronoun, personal, nominative, not 3rd person singular + verb "to have", uninflected present tense
ppss+hvd	pronoun, personal, nominative, not 3rd person singular + verb "to have", past tense
ppss+md	pronoun, personal, nominative, not 3rd person singular + modal auxillary
ppss+vb	pronoun, personal, nominative, not 3rd person singular + verb "to verb", uninflected present tense
ql	qualifier, pre
qlp	qualifier, post
rb	adverb
rb$	adverb, genitive
rb+bez	adverb + verb "to be", present tense, 3rd person singular
rb+cs	adverb + conjunction, coordinating
rbr	adverb, comparative
rbr+cs	adverb, comparative + conjunction, coordinating
rbt	adverb, superlative
rn	adverb, nominal
rp	adverb, particle
rp+in	adverb, particle + preposition
to	infinitival to
to+vb	infinitival to + verb, infinitive
uh	interjection
vb	verb, base: uninflected present, imperative or infinitive
vb+at	verb, base: uninflected present or infinitive + article
vb+in	verb, base: uninflected present, imperative or infinitive + preposition
vb+jj	verb, base: uninflected present, imperative or infinitive + adjective
vb+ppo	verb, uninflected present tense + pronoun, personal, accusative
vb+rp	verb, imperative + adverbial particle
vb+to	verb, base: uninflected present, imperative or infinitive + infinitival to
vb+vb	verb, base: uninflected present, imperative or infinitive; hypenated pair
vbd	verb, past tense
vbg	verb, present participle or gerund
vbg+to	verb, present participle + infinitival to
vbn	verb, past participle
vbn+to	verb, past participle + infinitival to
vbz	verb, present tense, 3rd person singular
wdt	Wh-determiner
wdt+ber	Wh-determiner + verb "to be", present tense, 2nd person singular or all persons plural
wdt+ber+pp	Wh-determiner + verb "to be", present, 2nd person singular or all persons plural + pronoun, personal, nominative, not 3rd person singular
wdt+bez	Wh-determiner + verb "to be", present tense, 3rd person singular
wdt+do+pps	Wh-determiner + verb "to do", uninflected present tense + pronoun, personal, nominative, not 3rd person singular
wdt+dod	Wh-determiner + verb "to do", past tense
wdt+hvz	Wh-determiner + verb "to have", present tense, 3rd person singular
wp$	Wh-pronoun, genitive
wpo	Wh-pronoun, accusative
wps	Wh-pronoun, nominative
wps+bez	Wh-pronoun, nominative + verb "to be", present, 3rd person singular
wps+hvd	Wh-pronoun, nominative + verb "to have", past tense
wps+hvz	Wh-pronoun, nominative + verb "to have", present tense, 3rd person singular
wps+md	Wh-pronoun, nominative + modal auxillary
wql	Wh-qualifier
wrb	Wh-adverb
wrb+ber	Wh-adverb + verb "to be", present, 2nd person singular or all persons plural
wrb+bez	Wh-adverb + verb "to be", present, 3rd person singular
wrb+do	Wh-adverb + verb "to do", present, not 3rd person singular
wrb+dod	Wh-adverb + verb "to do", past tense
wrb+dod*	wh-adverb + verb "to do", past tense, negated
wrb+doz	Wh-adverb + verb "to do", present tense, 3rd person singular
wrb+in	Wh-adverb + preposition
wrb+md	Wh-adverb + modal auxillary
